sample_id,decision,time_h,slope,r.squared,w_size
191030_PC_1_6,201,384.75083333,0.04234942,0.90189334,15
191030_PC_1_6,202,385.4175,0.05781655,0.88244608,8
191030_PC_1_6,203,386.75083333,0.0435095,0.91895663,16
191030_PC_1_6,204,387.58416667,0.05485044,0.93149966,10
191030_PC_1_6,205,388.6675,0.04288222,0.86495018,13
191030_PC_1_6,206,390.00055556,0.04183966,0.94812053,16
191030_PC_1_6,207,391.08388889,0.0506971,0.87582464,13
191030_PC_1_6,208,392.1675,0.03715322,0.74994932,23
191030_PC_1_6,208,392.1675,0.03715322,0.74994932,23
191030_PC_1_6,209,392.41722222,0.43849807,0.07853894,29
191030_PC_1_6,210,393.4175,0.04153788,0.93429492,12
191030_PC_1_6,211,394.58416667,0.04506299,0.93035221,14
191030_PC_1_6,212,395.66722222,0.04129533,0.95675504,13
191030_PC_1_6,213,396.75083333,0.04044207,0.85588908,13
191030_PC_1_6,214,397.75083333,0.04126867,0.89968665,12
191030_PC_1_6,215,398.75083333,0.04719019,0.90782573,12
191030_PC_1_6,216,399.75055556,0.04332395,0.7628655,12
191030_PC_1_6,217,400.66722222,0.05375163,0.88779614,11
191030_PC_1_6,218,402.00055556,0.04128909,0.83253987,16
191030_PC_1_6,219,403.00083333,0.04548283,0.68590666,12
191030_PC_1_6,220,404.25083333,0.05028628,0.89685235,15
191030_PC_1_6,221,405.33416667,0.05309624,0.91657372,13
191030_PC_1_6,222,406.33388889,0.05174835,0.96996575,12
191030_PC_1_6,223,407.33416667,0.04283582,0.96310059,12
191030_PC_1_6,224,408.4175,0.04588275,0.83434398,13
191030_PC_1_6,225,409.1675,0.04672832,0.74048526,9
191030_PC_1_6,226,410.58416667,0.04346369,0.95560871,17
191030_PC_1_6,227,411.4175,0.05188262,0.91190354,10
191030_PC_1_6,228,412.50083333,0.05014191,0.9027168,13
191030_PC_1_6,229,413.41722222,0.04725373,0.85990803,11
191030_PC_1_6,230,414.33416667,0.04549053,0.78490929,11
191030_PC_1_6,231,415.6675,0.03081115,0.76598584,16
191030_PC_1_6,232,416.58416667,0.04902401,0.93141205,11
191030_PC_1_6,233,417.66722222,0.04379441,0.82202866,13
191030_PC_1_6,234,418.6675,0.03974095,0.66876575,12
191030_PC_1_6,235,419.9175,0.04276116,0.95947743,15
191030_PC_1_6,236,421.1675,0.03839489,0.86225943,15
191030_PC_1_6,237,421.83416667,0.05890013,0.87875016,8
191030_PC_1_6,238,423.08416667,0.046913,0.93243525,15
191030_PC_1_6,239,424.00055556,0.04762219,0.94145641,11
191030_PC_1_6,240,425.00083333,0.04223966,0.89923552,12
191030_PC_1_6,241,425.9175,0.05454737,0.92962766,11
191030_PC_1_6,242,427.25083333,0.04590772,0.91633224,16
191030_PC_1_6,243,428.08416667,0.05037169,0.86154026,10
191030_PC_1_6,244,429.08388889,0.05135474,0.93475519,12
191030_PC_1_6,245,430.08416667,0.04797882,0.9437552,12
191030_PC_1_6,246,431.08388889,0.05465619,0.95612539,12
191030_PC_1_6,260,451.00055556,0.03470561,0.86479778,30
191030_PC_1_6,261,452.25055556,0.03209305,0.86858551,15
191030_PC_1_6,262,453.50055556,0.03986086,0.92236447,15
191030_PC_1_6,263,454.75083333,0.03848281,0.84593104,15
191030_PC_1_6,264,455.75083333,0.0442914,0.9227918,12
191030_PC_1_6,265,456.83416667,0.04414581,0.91791881,13
191030_PC_1_6,266,458.16722222,0.03958621,0.92486184,16
191030_PC_1_6,267,459.08416667,0.04198212,0.89401905,11
191030_PC_1_6,268,460.00055556,0.04446508,0.94116264,11
191030_PC_1_6,269,461.25083333,0.04179677,0.92374817,15
191030_PC_1_6,270,462.08416667,0.05145626,0.95476224,10
191030_PC_1_6,271,463.08416667,0.0498561,0.94917499,12
191030_PC_1_6,272,464.16722222,0.04659342,0.96111458,13
191030_PC_1_6,273,465.1675,0.04776159,0.92904638,12
191030_PC_1_6,274,466.41722222,0.0444987,0.95384766,15
191030_PC_1_6,275,467.58416667,0.03762509,0.94516616,14
191030_PC_1_6,276,468.4175,0.05305567,0.86072334,10
