sample_id,decision,time_h,slope,r.squared,w_size
200116_PC_3_1,255,1054.6825,0.0162913,0.33077367,67
200116_PC_3_1,256,1058.09916667,0.01999683,0.23732307,41
200116_PC_3_1,257,1061.34916667,0.02154196,0.41417713,39
200116_PC_3_1,258,1061.76722222,0.8911367,0.54254965,5
200116_PC_3_1,259,1063.59916667,0.0891942,0.34368766,22
200116_PC_3_1,260,1067.84916667,0.02903653,0.5315768,51
200116_PC_3_1,261,1073.01722222,0.01336668,0.32392898,62
200116_PC_3_1,262,1077.09916667,0.01603997,0.37041874,49
200116_PC_3_1,263,1082.6825,0.01356326,0.56692214,67
200116_PC_3_1,264,1083.51722222,0.20061611,0.43315557,10
200116_PC_3_1,265,1092.4325,0.01383988,0.69680605,107
200116_PC_3_1,266,1100.01722222,0.01236526,0.59293774,91
200116_PC_3_1,267,1102.1825,0.03395447,0.30558832,26
200116_PC_3_1,268,1105.51722222,0.0141938,0.29008593,40
200116_PC_3_1,269,1112.59916667,0.0130525,0.62613971,85
200116_PC_3_1,270,1118.84916667,0.01417503,0.64514988,75
200116_PC_3_1,271,1120.26722222,0.0849714,0.26223329,17
200116_PC_3_1,272,1122.59916667,0.03241474,0.21961545,28
200116_PC_3_1,273,1126.01583333,0.01958461,0.18452309,41
200116_PC_3_1,274,1132.59916667,0.01344239,0.36929127,79
200116_PC_3_1,277,1137.9325,0.0292786,0.75686376,59
200116_PC_3_1,278,1138.26722222,0.89883235,0.65078062,4
200116_PC_3_1,279,1148.4325,0.01789283,0.84771695,122
200116_PC_3_1,280,1154.9325,0.01327075,0.81131064,78
200116_PC_3_1,281,1159.51722222,0.02186009,0.23235817,55
200116_PC_3_1,282,1169.84916667,0.01228856,0.84448989,124
200116_PC_3_1,283,1175.01583333,0.01298226,0.71565921,62
200116_PC_3_1,284,1175.34916667,0.37176313,0.59424115,4
200116_PC_3_1,285,1177.1825,0.06663775,0.27309821,22
200116_PC_3_1,286,1185.84916667,0.01181903,0.70747426,104
200116_PC_3_1,287,1193.34916667,0.014518379999999999,0.80735439,90
200116_PC_3_1,288,1200.34916667,0.01134439,0.59154096,84
200116_PC_3_1,289,1206.4325,0.01348228,0.52940886,73
200116_PC_3_1,290,1208.6825,0.08854098,0.18096329,27
200116_PC_3_1,291,1210.1825,0.07690191,0.30155166,18
200116_PC_3_1,292,1214.59916667,0.02238141,0.2966533,53
200116_PC_3_1,293,1224.51722222,0.01331987,0.87057336,119
200116_PC_3_1,294,1227.4325,0.03187288,0.19966423,35
200116_PC_3_1,295,1228.84916667,0.08499562,0.27061101,17
200116_PC_3_1,296,1236.6825,0.01422724,0.77493591,94
200116_PC_3_1,297,1238.6825,0.07070869,0.21578108,24
200116_PC_3_1,298,1248.76583333,0.01500491,0.84567611,121
200116_PC_3_1,299,1252.6825,0.01164957,0.51676849,47
200116_PC_3_1,300,1257.84916667,0.01148892,0.30298868,62
200116_PC_3_1,301,1266.01583333,0.01382194,0.73707652,98
200116_PC_3_1,302,1270.1825,0.02028975,0.3077002,50
200116_PC_3_1,303,1280.6825,0.01402661,0.99399879,126
200116_PC_3_1,304,1284.59916667,0.0126319,0.9595866,47
200116_PC_3_1,305,1289.09916667,0.01250561,0.96184402,54
200116_PC_3_1,306,1293.26722222,0.01298059,0.94095228,50
200116_PC_3_1,307,1297.59916667,0.01270793,0.96879789,52
200116_PC_3_1,308,1301.4325,0.01164412,0.9318555,46
200116_PC_3_1,309,1305.76722222,0.01504606,0.95561506,52
200116_PC_3_1,310,1309.76722222,0.01189302,0.9478927,48
200116_PC_3_1,311,1312.76722222,0.01233794,0.83478625,36
200116_PC_3_3,193,1206.93277778,0.01092092,0.96283912,81
200116_PC_3_3,194,1214.2675,0.0115695,0.96053027,88
200116_PC_3_3,195,1220.09944444,0.01300991,0.95764475,70
200116_PC_3_3,196,1226.01611111,0.01430064,0.96994445,71
200116_PC_3_3,197,1232.2675,0.01377816,0.97363045,75
200116_PC_3_3,198,1237.59944444,0.01295548,0.96544029,64
200116_PC_3_3,199,1242.76611111,0.01558664,0.97237867,62
200116_PC_3_3,200,1248.34944444,0.01354323,0.95700284,67
200116_PC_3_3,201,1253.43277778,0.01277919,0.96264428,61
200116_PC_3_3,202,1259.34944444,0.01183425,0.96512419,71
200116_PC_3_3,203,1264.43277778,0.01385536,0.96440951,61
200116_PC_3_3,204,1270.43277778,0.01134007,0.92421545,72
200116_PC_3_3,205,1276.68277778,0.00979856,0.91728704,75
200116_PC_3_3,206,1281.7675,0.01603949,0.92983741,61
200116_PC_3_3,207,1287.68277778,0.01397224,0.95923864,71
200116_PC_3_3,208,1292.84944444,0.01566772,0.98072914,62
200116_PC_3_3,209,1297.34944444,0.01249268,0.94970899,54
200116_PC_3_3,210,1303.26611111,0.01461723,0.98063693,71
200116_PC_3_3,211,1309.09944444,0.01250789,0.96218296,70
200116_PC_3_3,212,1312.7675,0.00947048,0.8713047,44
200116_PC_3_4,201,1006.2675,0.01035002,0.96890147,76
200116_PC_3_4,202,1015.09972222,0.00926774,0.95638541,106
200116_PC_3_4,203,1023.18305556,0.00834841,0.95352647,97
200116_PC_3_4,204,1031.26777778,0.00923096,0.97758543,97
200116_PC_3_4,205,1040.09944444,0.00981934,0.97589401,106
200116_PC_3_4,206,1048.01777778,0.00941214,0.96238234,95
200116_PC_3_4,207,1057.09944444,0.009932,0.97493613,109
200116_PC_3_4,208,1064.84972222,0.0088294,0.96711852,93
200116_PC_3_4,209,1073.26777778,0.0094097,0.97389645,101
200116_PC_3_4,210,1080.76777778,0.00912198,0.97027615,90
200116_PC_3_4,211,1090.01777778,0.00837673,0.97079627,111
200116_PC_3_4,212,1097.59972222,0.01012414,0.96876038,91
200116_PC_3_4,213,1102.51777778,0.011449579999999999,0.97066959,59
200116_PC_3_4,214,1109.01611111,0.01213781,0.97581041,78
200116_PC_3_4,215,1115.34972222,0.01073908,0.95932465,76
200116_PC_3_4,216,1121.43305556,0.01252461,0.97859809,73
200116_PC_3_4,217,1127.0175,0.01307983,0.95937938,67
200116_PC_3_4,218,1133.26611111,0.01112392,0.9640911,75
200116_PC_3_4,219,1140.5175,0.01166872,0.97534416,87
200116_PC_3_4,220,1145.84972222,0.01281117,0.95016383,64
200116_PC_3_4,221,1151.93305556,0.01277512,0.96487215,73
200116_PC_3_4,222,1157.34972222,0.012976970000000001,0.96711827,65
200116_PC_3_4,223,1163.76777778,0.01109325,0.93697832,77
200116_PC_3_4,224,1169.59944444,0.01208742,0.96306183,70
200116_PC_3_4,225,1175.18277778,0.01215318,0.9744436,67
200116_PC_3_4,226,1180.93277778,0.01140822,0.96959188,69
200116_PC_3_4,227,1186.59944444,0.01087286,0.9249774,68
200116_PC_3_4,228,1192.09944444,0.01316597,0.97194791,66
200116_PC_3_4,229,1198.01777778,0.01180406,0.97390964,71
200116_PC_3_4,230,1204.84972222,0.01344354,0.97987379,82
200116_PC_3_4,231,1210.76777778,0.0106402,0.96459187,71
200116_PC_3_4,232,1216.43305556,0.01179442,0.9774608,68
200116_PC_3_4,233,1222.0175,0.01243638,0.96677025,67
200116_PC_3_4,234,1228.09944444,0.01130544,0.96358419,73
200116_PC_3_4,235,1233.59944444,0.01194771,0.98197699,66
200116_PC_3_4,236,1238.93277778,0.01220973,0.96822109,64
200116_PC_3_4,237,1244.0175,0.01603069,0.97434856,61
200116_PC_3_4,238,1249.43277778,0.01197932,0.96181485,65
200116_PC_3_4,239,1255.51638889,0.01147736,0.97462861,73
200116_PC_3_4,240,1261.01638889,0.01279205,0.97550221,66
200116_PC_3_4,241,1266.2675,0.01297941,0.96032315,63
200116_PC_3_4,242,1271.59972222,0.01137408,0.95748849,64
200116_PC_3_4,243,1275.76611111,0.01222416,0.96162105,50
200116_PC_3_4,244,1279.68305556,0.01294989,0.96172613,47
200116_PC_3_4,245,1283.93277778,0.013838,0.97763587,51
200116_PC_3_4,246,1287.76777778,0.0148873,0.95883346,46
200116_PC_3_4,247,1291.09972222,0.01630741,0.95003821,40
200116_PC_3_4,248,1294.51777778,0.01498689,0.97609824,41
200116_PC_3_4,249,1298.26777778,0.01492282,0.96091671,45
200116_PC_3_4,250,1301.84972222,0.01636976,0.93819321,43
200116_PC_3_4,251,1305.7675,0.01391303,0.95780559,47
200116_PC_3_4,252,1309.34972222,0.01502456,0.96644501,43
200116_PC_3_4,253,1312.7675,0.01572077,0.95698914,41
