"Bucket label","RT","m/z","Name","Formula","202002_TTP_SILS2665_RA_1_1 _merged_","202002_TTP_SILS2666_RA_1_1 _merged_","202002_TTP_SILS2667_R1_1 _merged_","202002_TTP_SILS2668_R_1_1 _merged_","202002_TTP_SILS2669_R_1_ _merged_","202002_TTP_SILS2670_R_1_ _merged_"
"646.38611 Da 42.98 s",0.72,324.20033,,,3944.0,3432.0,1848.0,0.0,2244.0,1918.0
"356.19787 Da 43.05 s",0.72,179.10621,,,3204.0,0.0,2562.0,2302.0,2474.0,0.0
"789.58229 Da 43.05 s",0.72,790.58956,,,1332.0,1326.0,1348.0,1442.0,1608.0,1582.0
"564.29083 Da 43.09 s",0.72,283.15269,,,4052.0,3800.0,3018.0,0.0,0.0,2410.0
"796.45830 Da 43.10 s",0.72,399.23643,,,2050.0,2358.0,1584.0,1552.0,1240.0,1206.0
"800.41609 Da 43.20 s",0.72,401.21532,,,2298.0,0.0,1778.0,1856.0,2172.0,0.0
"600.31336 Da 43.22 s",0.72,301.16396,,,0.0,0.0,2526.0,3512.0,2820.0,2204.0
"167.13086 Da 43.24 s",0.72,168.13813,,"C10H17NO",3118.0,2912.0,3560.0,4016.0,3274.0,3618.0
"158.05753 Da 43.28 s",0.72,159.06480,,"C7H10O4",19372.0,19352.0,26282.0,26062.0,25746.0,30038.0
"736.43615 Da 43.41 s",0.72,369.22535,,,0.0,2176.0,1250.0,1434.0,0.0,0.0
"265.13007 Da 43.47 s",0.72,266.13735,,"C8H20N5O3P",2738.0,3004.0,2870.0,2864.0,2948.0,3788.0
"608.31671 Da 43.73 s",0.73,609.32399,,"C21H60N4O5S5",1370.0,1304.0,780.0,914.0,726.0,0.0
"169.11006 Da 43.98 s",0.73,170.11734,,"C9H15NO2",3132.0,2756.0,2738.0,2462.0,2476.0,2600.0
"470.21155 Da 44.02 s",0.73,471.21882,,"C13H31N10O7P",1540.0,1620.0,1056.0,1348.0,1534.0,0.0
"456.19773 Da 44.02 s",0.73,457.20500,,"C19H32N6O3S2",1258.0,1296.0,1018.0,868.0,1386.0,864.0
"782.44285 Da 44.09 s",0.73,392.22870,,,4572.0,4956.0,1660.0,1608.0,3940.0,3014.0
"610.29624 Da 44.09 s",0.73,611.30352,,,1816.0,1462.0,1182.0,1040.0,1494.0,924.0
"412.18584 Da 44.18 s",0.74,207.10019,,,1170.0,1284.0,1066.0,1312.0,1206.0,0.0
"660.40221 Da 44.19 s",0.74,331.20838,,,9772.0,9034.0,6744.0,0.0,6658.0,4580.0
"900.44480 Da 44.23 s",0.74,451.22968,,,3350.0,2956.0,3312.0,0.0,3252.0,0.0
"668.35128 Da 44.31 s",0.74,335.18292,,,2228.0,2296.0,1978.0,2010.0,2036.0,2040.0
"369.14042 Da 44.35 s",0.74,370.14770,,"C14H23N7OS2",1250.0,1414.0,1372.0,1470.0,1506.0,1716.0
"580.22332 Da 44.39 s",0.74,291.11894,,,1632.0,1498.0,1870.0,1984.0,1732.0,1972.0
"242.07668 Da 44.41 s",0.74,243.08396,,"C15H14OS",1804.0,1950.0,2788.0,2860.0,2868.0,3326.0
"312.08146 Da 44.48 s",0.74,313.08874,,"C10H12N6O6",28848.0,28168.0,48372.0,51036.0,49128.0,61264.0
"582.33563 Da 44.51 s",0.74,583.34291,,"C16H42N18O4S",1274.0,1182.0,524.0,0.0,854.0,0.0
"356.10839 Da 44.63 s",0.74,357.11567,,"C13H28N2OS4",2430.0,2388.0,4004.0,3340.0,3628.0,4358.0
"479.35907 Da 44.65 s",0.74,480.36635,,"C17H45N13OS",1302.0,1596.0,1766.0,1994.0,1528.0,2246.0
"608.25747 Da 44.66 s",0.74,305.13601,,,1176.0,1316.0,1448.0,0.0,1540.0,1428.0
"616.32057 Da 44.70 s",0.75,309.16756,,,0.0,0.0,2184.0,2378.0,2750.0,2196.0
"528.26889 Da 44.73 s",0.75,265.14172,,,0.0,0.0,0.0,2864.0,2808.0,3302.0
"736.28970 Da 44.82 s",0.75,369.15213,,,0.0,2126.0,1580.0,0.0,2058.0,1716.0
"932.43524 Da 44.90 s",0.75,467.22490,,,0.0,0.0,0.0,2514.0,2948.0,1924.0
"467.17589 Da 44.90 s",0.75,468.18317,,"C10H29N9O10S",1340.0,1204.0,1592.0,1762.0,1768.0,2126.0
"337.11397 Da 44.91 s",0.75,338.12125,,"C9H24NO10P",2002.0,2226.0,3226.0,3316.0,3058.0,4588.0
"265.09304 Da 44.94 s",0.75,266.10031,,"C17H15NS",1884.0,2202.0,3184.0,3496.0,3254.0,3920.0
"648.23651 Da 44.98 s",0.75,325.12553,,,1462.0,0.0,1498.0,1502.0,2082.0,1446.0
"196.03467 Da 45.25 s",0.75,197.04195,,"C13H8S",2374.0,2150.0,3830.0,3514.0,3406.0,3882.0
"435.33245 Da 45.26 s",0.75,436.33972,,"C22H41N7O2",1762.0,2000.0,2188.0,2352.0,1960.0,3060.0
"672.38374 Da 45.28 s",0.75,337.19915,,,2296.0,2176.0,1676.0,1474.0,1772.0,1446.0
"340.25925 Da 45.28 s",0.75,341.26652,,"C16H32N6O2",0.0,1042.0,1134.0,1450.0,1128.0,1528.0
"464.27501 Da 45.28 s",0.75,465.28228,,"C15H44N8O2S3",1304.0,1260.0,0.0,638.0,1132.0,0.0
"486.35375 Da 45.36 s",0.76,487.36102,,"C16H46N12O3S",1006.0,908.0,1098.0,1366.0,1154.0,1726.0
"395.11908 Da 45.42 s",0.76,396.12636,,,700.0,1122.0,1374.0,1130.0,1524.0,1742.0
"154.02359 Da 45.48 s",0.76,155.03087,,,1018.0,828.0,984.0,974.0,1016.0,1234.0
"381.13946 Da 45.51 s",0.76,382.14673,,"C14H19N7O6",8474.0,8540.0,12094.0,10046.0,10276.0,14890.0
"798.37843 Da 45.84 s",0.76,799.38571,,"C32H69N2O12P3S",1170.0,1180.0,0.0,782.0,946.0,0.0
"157.95680 Da 46.27 s",0.77,158.96408,,,1060.0,946.0,1404.0,1496.0,1416.0,2608.0
"225.94401 Da 46.42 s",0.77,226.95129,,"C6H2N4S3",7908.0,6244.0,9724.0,10370.0,9950.0,19004.0
"361.91914 Da 46.46 s",0.77,362.92642,,"C7H10N2O5S5",2178.0,1634.0,2534.0,2614.0,2554.0,5232.0
"382.14566 Da 46.55 s",0.78,383.15293,,"C11H32N2O6P2S",1476.0,1234.0,2520.0,1862.0,2398.0,2926.0
"782.38354 Da 46.91 s",0.78,783.39082,,"C33H63N6O9PS2",1310.0,1260.0,0.0,1288.0,1262.0,1186.0
"287.91459 Da 47.07 s",0.78,288.92186,,"C9H5O3PS3",1458.0,1114.0,1870.0,1652.0,1680.0,2108.0
"431.23034 Da 47.67 s",0.79,432.23761,,"C24H33NO6",6552.0,5774.0,3694.0,3866.0,3840.0,2800.0
"411.37172 Da 48.77 s",0.81,412.37899,,"C18H49N7OS",2030.0,1910.0,1860.0,2158.0,2022.0,1970.0
"866.37307 Da 49.72 s",0.83,867.38034,,"C38H55N14O4PS2",2242.0,1982.0,3058.0,3908.0,2770.0,2786.0
"392.25381 Da 50.85 s",0.85,393.26108,,"C27H36S",1078.0,1046.0,578.0,622.0,530.0,0.0
"850.39081 Da 51.12 s",0.85,851.39809,,"C46H54N6O10",9112.0,9748.0,12350.0,10550.0,11318.0,10672.0
"498.15620 Da 52.52 s",0.88,499.16348,,"C18H27N8O5PS",1788.0,2044.0,2094.0,2450.0,2798.0,2570.0
"248.17530 Da 52.79 s",0.88,249.18257,,"C12H20N6",2300.0,2274.0,2620.0,2294.0,2438.0,2162.0
"566.35518 Da 53.16 s",0.89,567.36245,,"C24H51N6O7P",1896.0,1872.0,2044.0,2012.0,2164.0,1860.0
"171.16223 Da 53.17 s",0.89,172.16951,,"C10H21NO",3086.0,2736.0,3192.0,3276.0,3618.0,3464.0
"511.38830 Da 54.06 s",0.90,512.39557,,"C30H57NOS2",1592.0,1452.0,1490.0,1450.0,1774.0,1316.0
"483.42816 Da 57.32 s",0.96,484.43544,,"C23H58N5O3P",5594.0,5308.0,6574.0,6196.0,6142.0,0.0
"525.40512 Da 58.19 s",0.97,526.41240,,"C31H51N5O2",1818.0,1476.0,1674.0,1364.0,1508.0,1468.0
"423.40681 Da 58.67 s",0.98,424.41409,,"C27H53NO2",19750.0,19214.0,23004.0,22252.0,20944.0,20758.0
"597.46161 Da 59.04 s",0.98,598.46888,,"C35H59N5O3",1406.0,1128.0,1162.0,1206.0,1194.0,1134.0
"349.16515 Da 59.69 s",0.99,350.17243,,,3520.0,3090.0,3560.0,3992.0,3754.0,3986.0
"456.15147 Da 60.59 s",1.01,457.15875,,"C20H24N8OS2",976.0,910.0,1212.0,1102.0,962.0,1058.0
"234.16152 Da 61.13 s",1.02,235.16880,,"C15H22O2",812.0,1048.0,1134.0,972.0,1012.0,1078.0
"290.22220 Da 62.19 s",1.04,291.22947,,"C15H26N6",1508.0,1468.0,1688.0,2058.0,1522.0,1900.0
"599.44143 Da 62.96 s",1.05,600.44871,,"C19H53N17O5",1018.0,938.0,704.0,1096.0,840.0,868.0
"154.03918 Da 63.28 s",1.05,155.04646,,"C4H11O4P",936.0,1406.0,1208.0,2192.0,1294.0,1254.0
"856.46195 Da 63.56 s",1.06,857.46923,,"C41H80N2O6S5",1044.0,968.0,1036.0,786.0,1106.0,0.0
"583.44394 Da 63.79 s",1.06,584.45122,,"C30H53N11O",14368.0,12940.0,12192.0,14112.0,12380.0,13350.0
"339.31340 Da 65.21 s",1.09,340.32067,,"C21H41NO2",1390.0,1240.0,1584.0,1358.0,1566.0,1272.0
"742.42501 Da 67.64 s",1.13,743.43229,,"C32H67N6O7PS2",544.0,960.0,1222.0,1020.0,1752.0,898.0
"697.47609 Da 67.81 s",1.13,698.48336,,,1748.0,1738.0,1572.0,1712.0,1674.0,1804.0
"626.37800 Da 67.82 s",1.13,627.38528,,"C25H62N4O7S3",0.0,0.0,872.0,988.0,1372.0,1112.0
"568.24400 Da 68.31 s",1.14,569.25127,,"C21H49N2O7PS3",1232.0,1258.0,1364.0,1076.0,1162.0,936.0
"511.45980 Da 69.79 s",1.16,512.46707,,"C25H62N5O3P",4438.0,4012.0,4084.0,5156.0,5374.0,6306.0
"640.39525 Da 69.79 s",1.16,641.40253,,"C35H64N2S4",1204.0,1180.0,1678.0,1216.0,2196.0,1428.0
"641.48701 Da 71.63 s",1.19,642.49429,,"C28H73N3O8P2",2360.0,2204.0,2242.0,2412.0,2622.0,2228.0
"498.29478 Da 72.18 s",1.20,250.15467,,"C20H39N10O3P",3434.0,3086.0,3528.0,3482.0,2998.0,3304.0
"451.43847 Da 74.25 s",1.24,452.44575,,"C29H57NO2",10170.0,9956.0,10278.0,10198.0,10468.0,11254.0
"291.19371 Da 75.43 s",1.26,292.20098,,,842.0,880.0,1154.0,942.0,0.0,1092.0
"582.39101 Da 77.36 s",1.29,583.39829,,"C18H42N22O",2594.0,2288.0,2152.0,2660.0,3160.0,2960.0
"554.35905 Da 77.40 s",1.29,555.36632,,"C20H55N6O7PS",0.0,0.0,910.0,1062.0,954.0,1124.0
"214.07611 Da 78.37 s",1.31,215.08339,,"C10H15O3P",4016.0,3476.0,3982.0,3622.0,3972.0,3344.0
"302.18576 Da 78.56 s",1.31,303.19303,,"C15H22N6O",5824.0,5682.0,6610.0,6742.0,6092.0,5574.0
"224.14116 Da 79.31 s",1.32,225.14843,,"C13H20O3",1326.0,1100.0,1434.0,1108.0,1092.0,1198.0
"326.24315 Da 79.84 s",1.33,327.25043,,"C15H30N6O2",2486.0,1598.0,1162.0,1072.0,882.0,0.0
"611.47645 Da 82.50 s",1.38,612.48373,,"C27H71N3O7P2",3656.0,3014.0,3704.0,3630.0,3924.0,3862.0
"426.23805 Da 83.50 s",1.39,427.24532,,"C30H34S",1638.0,1444.0,844.0,1076.0,954.0,0.0
"384.14674 Da 83.94 s",1.40,385.15402,,"C16H24N4O5S",1746.0,1400.0,712.0,928.0,724.0,0.0
"250.03950 Da 83.96 s",1.40,251.04678,,"C12H11O4P",3098.0,2346.0,1118.0,1518.0,1352.0,808.0
"332.26920 Da 84.47 s",1.41,333.27647,,"C18H32N6",1184.0,1234.0,1296.0,1188.0,1054.0,1200.0
"506.26417 Da 85.04 s",1.42,507.27145,,"C27H34N6O4",1720.0,1056.0,1352.0,1802.0,1268.0,610.0
"526.39816 Da 85.36 s",1.42,527.40543,,"C29H54N2O6",1064.0,1048.0,1000.0,1200.0,1152.0,1008.0
"192.13155 Da 85.83 s",1.43,193.13882,,,1284.0,1348.0,1526.0,1852.0,1780.0,1856.0
"567.44863 Da 86.02 s",1.43,568.45590,,"C30H53N11",47846.0,45508.0,50416.0,52454.0,50354.0,51530.0
"495.42855 Da 87.42 s",1.46,496.43583,,"C30H57NO4",2614.0,2460.0,2922.0,2870.0,2834.0,2928.0
"669.51845 Da 95.75 s",1.60,670.52573,,,1024.0,1150.0,1140.0,1104.0,1244.0,948.0
"708.52861 Da 103.06 s",1.72,709.53589,,,1070.0,1082.0,1086.0,1300.0,1252.0,1308.0
"836.61442 Da 109.77 s",1.83,419.31449,,"C27H77N22O6P",1230.0,1572.0,1908.0,2058.0,2266.0,1968.0
"523.46020 Da 122.15 s",2.04,524.46747,,"C32H61NO4",1546.0,1554.0,1810.0,1520.0,1648.0,1620.0
"266.15553 Da 122.33 s",2.04,267.16281,,"C12H26O4S",966.0,854.0,912.0,1146.0,1198.0,1080.0
"184.11146 Da 127.45 s",2.12,185.11874,,,1220.0,958.0,922.0,1198.0,994.0,664.0
"312.22766 Da 127.88 s",2.13,313.23494,,"C14H28N6O2",1046.0,902.0,1028.0,1070.0,1056.0,1068.0
"938.54321 Da 128.31 s",2.14,939.55049,,,4588.0,1810.0,0.0,2688.0,1898.0,0.0
"414.22931 Da 128.87 s",2.15,415.23659,,"C23H26N8",3302.0,1858.0,2300.0,2554.0,2330.0,1100.0
"432.20210 Da 130.99 s",2.18,433.20938,,"C22H24N8O2",1618.0,878.0,1134.0,1040.0,836.0,0.0
"238.22969 Da 131.16 s",2.19,239.23697,,"C16H30O",1692.0,1530.0,1290.0,1452.0,1048.0,0.0
"480.24181 Da 132.79 s",2.21,481.24909,,"C16H28N14O4",1032.0,866.0,954.0,1030.0,838.0,702.0
"432.32316 Da 146.60 s",2.44,433.33044,,"C19H48N2O6S",0.0,0.0,888.0,1046.0,0.0,1248.0
"361.29145 Da 149.19 s",2.49,362.29873,,"C14H35N9O2",1176.0,1060.0,1016.0,1296.0,0.0,0.0
"396.32888 Da 149.34 s",2.49,397.33616,,"C22H44N4S",0.0,0.0,1048.0,1030.0,0.0,1194.0
"707.53385 Da 164.97 s",2.75,708.54112,"bacteriohopane-,32,33,34-triol-35-cyclitol","C41H73NO8",7318.0,7496.0,6942.0,8024.0,5604.0,1856.0
