"Bucket label","RT","m/z","Name","Formula","2020020_TTP_SILS2665_RA1_1_23 _merged_","2020020_TTP_SILS2666_RA2_1_23 _merged_","2020020_TTP_SILS2667_RA3_1_23 _merged_","2020020_TTP_SILS2668_RA4_1_23 _merged_","2020020_TTP_SILS2669_RA5_1_239 _merged_","2020020_TTP_SILS2670_RA6_1_238 _merged_"
"249.11106 Da 1173.40 s",19.56,250.11834,"2,4,6-Tris_allyloxy_-1,3,5-triazine","C12H15N3O3",3504.0,3616.0,2994.0,2784.0,3046.0,3460.0
"154.09924 Da 1174.33 s",19.57,155.10652,,,898.0,0.0,930.0,1186.0,1004.0,1002.0
"81.98175 Da 1174.56 s",19.58,82.98903,,,530.0,6192.0,2090.0,0.0,348.0,150.0
"505.42821 Da 1174.94 s",19.58,506.43549,,"C35H55NO",1526.0,2814.0,2150.0,0.0,408.0,518.0
"352.15005 Da 1175.79 s",19.60,353.15733,,"C15H24N6S2",1754.0,2018.0,1328.0,1366.0,1724.0,1562.0
"61.92163 Da 1177.08 s",19.62,62.92891,,,11968.0,11734.0,22598.0,12152.0,11132.0,10536.0
"123.07961 Da 1177.09 s",19.62,124.08689,,"C6H9N3",10178.0,9370.0,8098.0,9696.0,9654.0,0.0
"102.94816 Da 1175.91 s",19.60,103.95544,,,2760.0,2084.0,2350.0,2012.0,2484.0,2546.0
"87.06823 Da 1175.93 s",19.60,88.07551,,,966.0,1430.0,1240.0,960.0,1038.0,1168.0
"104.94632 Da 1177.25 s",19.62,105.95360,,,1510.0,1192.0,1556.0,1366.0,1372.0,1472.0
"193.10897 Da 1177.48 s",19.62,194.11625,,,2328.0,2764.0,2742.0,0.0,2506.0,2400.0
"145.97254 Da 1177.60 s",19.63,146.97981,,,1032.0,704.0,692.0,660.0,904.0,822.0
"56.06225 Da 1178.52 s",19.64,57.06953,,,3158.0,2168.0,13614.0,1280.0,0.0,1154.0
"468.37287 Da 1179.28 s",19.65,469.38015,,"C28H53O3P",2394.0,3866.0,2340.0,0.0,424.0,0.0
"189.89436 Da 1182.50 s",19.71,190.90164,,,1170.0,986.0,1714.0,938.0,1338.0,1600.0
"216.09704 Da 1182.69 s",19.71,217.10431,,"C6H12N6O3",1524.0,0.0,1202.0,0.0,0.0,1196.0
"114.95667 Da 1186.78 s",19.78,115.96381,,,2452.0,2662.0,2244.0,2112.0,2250.0,2168.0
"211.89751 Da 1186.11 s",19.77,250.86194,,,2742.0,1962.0,2064.0,1772.0,1900.0,1754.0
"126.96692 Da 1186.27 s",19.77,127.97420,,,1180.0,1250.0,1618.0,1072.0,1598.0,1596.0
"99.01705 Da 1186.22 s",19.77,50.51580,,,0.0,1316.0,712.0,1278.0,1524.0,906.0
"123.95711 Da 1186.78 s",19.78,124.96438,,,5116.0,4610.0,3576.0,3224.0,3784.0,4362.0
