gcvT	181
gdh	531
gdhA	997
gdhB	173
gerCb	261
ggt	997
ggtA	428
gidA	1478
gidB	686
glbN	175
glcD	816
glcE	1160
glcF	1033
glcP	2623
gldA	876
glgA	2335
glgB	3437
glgP	5147
glgX	4143
glk	316
glmS	1047
glmU	844
glnA	6266
glnB	3666
glnH	177
glnH/glnP	2523
glnN	1372
glpD	222
glpK	360
glpX	8292
gltA	850
gltB	11247
gltD	2851
gltS	189
gltX	1017
glyQ	565
glyS	1184
gmhA	817
gmk	113
gnd	4622
gpmB	642
gpsA	500
groEL	9145
groEL-2	3892
groES	2029
grpE	966
grxC	487
gshB	1046
gspD	4948
gspE	2982
gspF	476
gst	292
gst1	576
guaA	3239
guaB	3451
gumB	1429
gylA	3019
gyrA	2724
gyrB	5325
hdrB	516
hemA	1448
hemB	1058
hemC	1159
hemD	599
hemE	1934
hemF	3850
hemH	1913
hemK	194
hemL	1392
hemN	240
hflX	581
hglK	452
hhoA	591
hhoB	748
hisA	385
hisB	694
hisC	2390
hisD	1136
hisF	144
hisG	334
hisH	239
hisI	191
hisS	1234
hitB	1179
hliA	717
hlyB	5430
hlyD	3972
ho1	8397
ho2	60
hofD	250
hofG	11617
hoxF	286
hoxH	422
hoxU	114
hoxY	87
hpcE	398
hrcA	839
hsp17	268
htpG	1461
htrA	941
hupE	682
hypA	71
hypB	703
hypC	334
hypD	173
hypE	237
hypF	191
icd	424
icfA	1365
icsA	82
ileS	1837
ilvA	654
ilvB	1549
ilvC	2023
ilvD	2818
ilvE	1066
ilvG	5672
ilvN	1069
im30	1520
infA	215
infB	7971
infC	2571
int	256
isiA	181
isiB	28
iutA	114
katG	2390
kdpA	270
kdpB	531
kdpC	112
kdpD	93
kdtB	204
kpsM	375
kpsT	144
ksgA	112
lacF	379
lacG	157
lap	435
lepA	2934
lepB	822
leuA	2911
leuB	887
leuC	1552
leuD	680
leuS	2518
lexA	6507
lgt	559
lig	5941
lim	1330
lim17	261
lipA	497
lipB	76
livF	274
livG	367
livH	1125
llaI.2	330
lmbP	279
lpxA	587
lpxB	498
lpxC	141
lpxD	644
lrtA	4188
lspA	238
lysA	2251
lysC	1132
lysS	1219
lytB	772
lytR	576
maf	65
malK	270
malQ	605
manA	230
map	1390
map%2C pepM	326
mbpA	345
mcpA	3333
me	494
melB	1099
menA	479
menB	140
menD	749
menE	97
merA	181
merR	198
met3	949
metH	1829
metS	1438
metX	2037
mfd	892
mgtC	283
mgtE	379
miaA	139
minC	253
minD	474
minE	173
mltA	303
mmsB	228
mntA	89
mntB	94
mntC	269
moaA	162
moaC	133
moaE	39
modA	29
moeA	241
moeB	5028
mom72	356
morR	453
moxR	269
mraY	526
mrcA	2220
mrcB	1034
mrdB	882
mscL	565
msrA	1499
mtfB	185
murC	1945
murD	385
murE	1067
murF	518
murG	326
murI	2548
murZ	3516
mutL	306
mutM	1179
mutS	2349
mutT	97
nadA	203
nadB	565
nadC	244
nadE	543
napA	1160
napC	257
narB	1447
natA	142
natB	1870
nblA	197
ndh	1450
ndhA	2719
ndhB	3835
ndhC	537
ndhD	7446
ndhD2	1013
ndhD3	388
ndhE	813
ndhF	8801
ndhG	2025
ndhH	1902
ndhI	1255
ndhJ	867
ndhK	1396
ndhK2	48
ndhL	327
ndkR	226
nifJ	1048
nifS	2587
nirA	1196
nlpD	23389
norA	537
norB	473
nplT	181
nrdA	3027
nreB	141
nrtA	1877
nrtB	1510
nrtC	4202
nrtD	2158
ntcA	1446
ntcB	48
nth	435
ntpJ	828
nucH	437
nusA	1141
nusB	303
nusG	2533
nylA	568
odhB	2438
opcA	1165
otsA	663
p	152
panB	242
panC/kcy	539
panD	209
pbp	177
pchR	147
pcnB	877
pcr	1226
pcrR	42
pdhB	824
pds	474
pdxA	73
pdxH	372
pdxJ	294
pepP	720
pet112	1501
petA	4151
petB	6848
petC	3046
petD	7723
petE	9374
petF	10104
petG	768
petH	5232
petJ	426
petM	59
pfkA	1351
pgi	1338
pgk	5804
pgm	1581
pgsA	133
phb	420
phbC	369
phdD	1378
pheA	272
pheS	748
pheT	2132
phoA	1641
phoH	560
phoU	172
phr	772
phy	11451
pilC	725
pilJ	2257
pilM	2993
pilT	8328
pknA	2028
pleD	2096
plsX	577
pma1	266
pmbA	262
pmgA	485
pnp	6155
pntA	7546
pntB	1311
pobA	82
polA	486
ponA	2164
ppa	994
ppc	2586
ppd	169
ppiB	1173
ppk	594
ppsA	1121
ppx	548
pqqE	860
prc	2149
prfA	761
prfB	497
prfC	1729
priA	708
prk	6209
prlC	1364
prmA	1218
proA	1867
proB	228
proC	455
proS	1106
prsA	2431
psaA	320284
psaB	301761
psaC	17777
psaD	14680
psaE	2986
psaF	16687
psaI	2023
psaJ	3686
psaK	4247
psaL	13378
psaM	6478
psb13	515
psbA1	157
psbA2	205319
psbA3	88625
psbB	38321
psbC	50057
psbD	39262
psbD2	36185
psbE	2135
psbF	347
psbH	3700
psbI	2155
psbJ	379
psbK	2319
psbL	471
psbM	910
psbN	1167
psbO	6976
psbT	4132
psbU	2812
psbV	4312
psbX	988
psbZ	1215
psr	369
pstA	570
pstB	824
pstC	744
pstS	1013
pta	761
pth	231
purA	1957
purB	1387
purC	388
purD	302
purE	132
purF	3141
purH	828
purK	473
purL	1661
purM	227
purN	341
purT	499
purU	246
putA	1366
pxcA	126
pykF	2046
pyrB	136
pyrC	518
pyrD	281
pyrF	568
pyrG	843
pyrH	682
pyrR	237
pys	949
queA	230
radC	356
rapQ	334
rbcL	33917
rbcR	364
rbcS	5073
rbcX	10095
rbpA	15954
recA	1167
recF	189
recG	245
recJ	719
recN	69
recQ	775
recR	323
repA	1312
rfbA	494
rfbB	2409
rfbC	274
rfbD	2064
rfbE	694
rfbF	481
rfbG	1100
rfbJ	394
rfbM	355
rfbP	6270
rfbU	1149
rfbW	376
rffM	468
rhnB	362
ribA	1050
ribC	159
ribG	90
ribH	1351
rimI	104
rlpA	1722
rnb	1365
rnc	1214
rnd	458
rne	1787
rnhA	525
rnpA	708
rnpB	72306
rpiA	629
rpiB	6
rpl1	5574
rpl10	4174
rpl11	1947
rpl12	3610
rpl13	2303
rpl14	800
rpl15	1533
rpl16	1804
rpl17	1305
rpl18	929
rpl19	2739
rpl2	3104
rpl20	4837
rpl21	3925
rpl22	1407
